BILL_TO,DATE,DUE_DATE,INVOICE_INFO,LOGO,NOTE,NUMBER,OTHER,PO_NUMBER,SELLER_NAME,TABLE,TAX,TITLE,TOTAL,TOTAL_WORDS,_source_file
"BILL_TO:
Sara Chandler
3238 Banks Stravenue Suite 183
East Catherine, NE 17999 US
Tel:+(790)089-5378
Email:alexanderjohn@example.org
Site:https://davis.com/",Date: 25-Dec-2000,Due Date : 21-Jan-2004,[],,Note:Total payment due in 14 days.,Invoice number INV25680421,"COMMERCIAL INVOICE

NK.NAG & CO,

Date: 25-Dec-2000
Invoice number INV25680421
PO Number :71

BILL_TO:

Sara Chandler

3238 Banks Stravenue Suite 183
East Catherine, NE 17999 US
Tel:+(790)089-5378
Email:alexanderjohn@example.org
Site:https://davis.com/

Due Date : 21-Jan-2004

131302 12.63 25.26
623400 _| Travel behind meet. 92.42 462.10

019003 __| Take effect. 34.37 171.85
319271 _| Staff myself buy. 41.81 209.05

303741 | Study board always. 36.39 109.17

TAX:VAT (6.00%): 58.61 $
TOTAL : 1003.00 $

Note:Total payment due in 14 days.

Total in words: one thousan-
d and three
",PO Number :71,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.00%):  58.61 $,COMMERCIAL INVOICE,TOTAL : 1003.00 $,"Total in words:  one thousan-
d and three",Template3_Instance146.json
"BILL_TO:
James Gibson
86859 Jones Rue
Elijahmouth, OR 26291 US
Tel:+(938)915-3063
Email:mwaters@example.org
Site:http://www.carr-warren.com/",Date: 07-Oct-2021,Due Date : 17-Aug-2022,[],,Thank you for choosing us!,INVOICE # 6Y7M1d-126,"COMMERCIAL INVOICE

NK.NAG & CO,

Date: 07-Oct-2021
INVOICE # 6Y7M1d-126
PO Number :94

BILL_TO:

James Gibson

86859 Jones Rue

Elijahmouth, OR 26291 US
Tel:+(938)915-3063
Email:mwaters@example.org
Site:http://www.carr-warren.com/

Due Date : 17-Aug-2022

[6.00 | 197523 27.40 164.40
11.00 [201545 _| Stay play explain. 17.61 17.61

876355 __| Clearly meet relationship. 29.14 29.14
041546 _| Significant outside. 79.41 317.64
286985 __| Mention include nice. 67.54 67.54

TAX:VAT (4.15%): 24.76 $
TOTAL : 609.46 $

Thank you for choosing us!

Total in words: six hundred and n-
ine point four six
",PO Number :94,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.15%):  24.76 $,COMMERCIAL INVOICE,TOTAL : 609.46 $,"Total in words:  six hundred and n-
ine point four six",Template3_Instance147.json
"BILL_TO:
Victoria Cooper
78463 Jessica Via Suite 533
Edwardfort, PR 21787 US
Tel:+(611)708-8318
Email:alvarezgina@example.org
Site:http://www.butler-tyler.com/",Date: 24-Jan-1995,Due Date : 31-Mar-2002,[],,"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE # 2Y7M9d-521,"INVOICE

NK.NAG & CO,

Date: 24-Jan-1995

INVOICE # 2Y7M9d-521
PO Number :02

BILL_TO:

Victoria Cooper

78463 Jessica Via Suite 533
Edwardfort, PR 21787 US
Tel:+(611)708-8318
Email:alvarezgina@example.org
Site:http://www.butler-tyler.com/

Due Date : 31-Mar-2002

fa 582198 __| Pattern do black. 31.62 189.72

984527 Theory themselves hope. 93.14 186.28

lee | 475231 _| Put financial. 66.30 397.80

. 0, .
Note: All payments to be made in cash. TAXVAT (4.88%): 37.76 USD

Contact us for queries on these quotations. TOTAL : 774.42 USD

Total in words: seven hundred and seve-
nty-four point four two
",PO Number :02,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.88%):  37.76 USD,INVOICE,TOTAL : 774.42 USD,"Total in words:  seven hundred and seve-
nty-four point four two",Template3_Instance148.json
"BILL_TO:
Amanda Snow
870 Charles Mount
Lake Annebury, KY 77091 US
Tel:+(816)522-4532
Email:david99@example.net
Site:https://garcia.com/",Date: 01-Sep-2018,Due Date : 31-Jan-2022,[],,"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE ID INV/27-74/488,"COMMERCIAL INVOICE

NK.NAG & CO,

Date: 01-Sep-2018

INVOICE ID INV/27-74/488
PO Number :47

BILL_TO:

Amanda Snow

870 Charles Mount

Lake Annebury, KY 77091 US
Tel:+(816)522-4532
Email:david99@example.net
Site:https://garcia.com/

Due Date : 31-Jan-2022

[6.00 | 492520 [Enough = C*dTC 4 5'7| 267.42 |

966406 _| Compare follow. 99.66 199.32

. 0, .
Note: All payments to be made in cash. TEVA (C-Saray ELO8

Contact us for queries on these quotations. TOTAL : 478.74 $

Total in words: four hundred and sevent-
y-eight point seven four
",PO Number :47,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.85%):  31.98 $,COMMERCIAL INVOICE,TOTAL : 478.74 $,"Total in words:  four hundred and sevent-
y-eight point seven four",Template3_Instance149.json
"BILL_TO:
Ryan Gates
566 Reginald Inlet Suite 746
Lake Michael, WY 95694 US
Tel:+(686)107-8962
Email:marc66@example.net
Site:https://cooper-cooper.com/",Date: 16-Feb-2009,Due Date : 30-Oct-2009,[],,Thank you for your business!,INVOICE ID INV60345116,"TAX INVOICE

NK.NAG & CO,

Date: 16-Feb-2009
INVOICE ID INV60345116
PO Number :60

BILL_TO:

Ryan Gates

566 Reginald Inlet Suite 746
Lake Michael, WY 95694 US
Tel:+(686)107-8962
Email:marc66@example.net
Site:https://cooper-cooper.com/

Due Date : 30-Oct-2009

559553 __ | Up probably. 84.81 254.43
194219 _| Itself specific where. 41.89 125.67

802441 _| Field billion break high. 20.67 62.01

[3.00 _ | 721183 74.01 222.03

TAX:VAT (4.93%): 32.74 USD
TOTAL : 675.56 USD

Thank you for your business!

Total in words: six hundred and seven-
ty-five point five six
",PO Number :60,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.93%):  32.74 USD,TAX INVOICE,TOTAL : 675.56 USD,"Total in words:  six hundred and seven-
ty-five point five six",Template3_Instance15.json
"BILL_TO:
Margaret Christian
919 Jeffrey Burgs Suite 568
East Thomashaven, MT 51917 US
Tel:+(148)326-0726
Email:olittle@example.net
Site:https://rice.com/",Invoice Date: 17-Aug-1999,Due Date : 16-Jan-2017,[],,"Note: All payments to be made in cash.
Contact us for queries on these quotations.",Invoice number 2Y5M4d-448,"INVOICE

NK.NAG & CO,

Invoice Date: 17-Aug-1999

Invoice number 2Y5M4d-448
PO Number :02

BILL_TO:

Margaret Christian

919 Jeffrey Burgs Suite 568

East Thomashaven, MT 51917 US
Tel:+(148)326-0726
Email:olittle@example.net
Site:https://rice.com/

Due Date : 16-Jan-2017

[4.00 | 432105 64,02 64.02

'4.00 [275133 _| President there read. 81.12 81.12
[4.00 | 196779 48.03 192.12

[4.00 | 003501 45.26 45.26

. 0, .
Note: All payments to be made in cash. TAX:VAT (5.21%): 19.95 USD
Contact us for queries on these quotations. TOTAL : 385.98 USD

Total in words: three hundred and eight-
y-five point nine eight
",PO Number :02,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.21%):  19.95 USD,INVOICE,TOTAL : 385.98 USD,"Total in words:  three hundred and eight-
y-five point nine eight",Template3_Instance150.json
"BILL_TO:
Lance Anderson
462 Jacob Dale Apt. 622
North Susanton, WV 82021 US
Tel:+(202)700-7015
Email:valenzuelanicholas@example.com
Site:https://www.miranda.com/",Date: 05-Apr-2004,Due Date : 23-Jan-1996,[],,Note:Total payment due in 14 days.,INVOICE # INV61998659,"COMMERCIAL INVOICE

NK.NAG & CO,

Date: 05-Apr-2004
INVOICE # INV61998659
PO Number :99

BILL_TO:

Lance Anderson

462 Jacob Dale Apt. 622

North Susanton, WV 82021 US
Tel:+(202)700-7015
Email:valenzuelanicholas@example.com
Site:https://www.miranda.com/

Due Date : 23-Jan-1996

206405 _| After talk democratic. 60.40 241.60

399426 _| Hair behind. 31.49 62.98
15.00 | 303109 _| This simply listen. 81.93 409.65

14.00 | 019733 _| May especially tend. 78.21 78.21

TAX:VAT (3.51%): 27.78 USD
TOTAL : 799.93 USD

Note:Total payment due in 14 days.

Total in words: seven hundred and ninet-
y-nine point nine three
",PO Number :99,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (3.51%):  27.78 USD,COMMERCIAL INVOICE,TOTAL : 799.93 USD,"Total in words:  seven hundred and ninet-
y-nine point nine three",Template3_Instance151.json
"BILL_TO:
Victor Nguyen
86614 Martin Road
Judyview, CA 67741 US
Tel:+(362)582-3775
Email:lanelarry@example.com
Site:https://wright.com/",Date: 31-Oct-2002,Due Date : 18-Nov-2010,[],,Note:Total payment due in 14 days.,Invoice number 5Y1M9d-474,"COMMERCIAL INVOICE

NK.NAG & CO,

Date: 31-Oct-2002

Invoice number 5Y 1M9d-474
PO Number :76

BILL_TO:

Victor Nguyen

86614 Martin Road

Judyview, CA 67741 US
Tel:+(362)582-3775
Email:lanelarry@example.com
Site:https://wright.com/

Due Date : 18-Nov-2010

laty lin | Deseription | Unit price | Amoun

313471 78.37 156.74
204743 __| Building kid push. 99.04 198.08

TAX:VAT (4.83%): 17.14 $
TOTAL : 357.41 $

Note:Total payment due in 14 days.

Total in words: three hundred and fift-
y-seven point four one
",PO Number :76,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.83%):  17.14 $,COMMERCIAL INVOICE,TOTAL : 357.41 $,"Total in words:  three hundred and fift-
y-seven point four one",Template3_Instance152.json
"BILL_TO:
Allison Marsh
505 Meagan Shore Apt. 622
Ronaldshire, MH 79677 US
Tel:+(179)978-9335
Email:susanduncan@example.net
Site:https://www.miller-collins.biz/",Date: 01-Oct-2015,Due Date : 30-Jun-1998,[],,Thank you for your business!,INVOICE ID INV86937928,"COMMERCIAL INVOICE

NK.NAG & CO,

Date: 01-Oct-2015
INVOICE ID INV86937928
PO Number :19

BILL_TO:

Allison Marsh

505 Meagan Shore Apt. 622
Ronaldshire, MH 79677 US
Tel:+(179)978-9335
Email:susanduncan@example.net
Site:https://www.miller-collins.biz/

Due Date : 30-Jun-1998

'6.00 | 273402 73.08 438.48
[3.00 | 059671 70.01 210.03

[6.00 | 091424 17.27 103.62
559263 _| Happv performance stuff, 79.55 159.10
107697 38.11 114.33

TAX:VAT (6.29%): 64.48 $
TOTAL : 1059.89 $

Thank you for your business!

Total in words: one thousand and fifty-
-nine point eight nine
",PO Number :19,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.29%):  64.48 $,COMMERCIAL INVOICE,TOTAL : 1059.89 $,"Total in words:  one thousand and fifty-
-nine point eight nine",Template3_Instance153.json
"BILL_TO:
Marc Williams
80471 Smith Radial Apt. 953
Dominguezhaven, MH 10433 US
Tel:+(994)823-0790
Email:mia72@example.org
Site:https://lee-cooper.biz/",Invoice Date: 23-Jan-2013,Due Date : 16-Nov-2006,[],,"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE # 4778-038,"INVOICE

NK.NAG & CO,

Invoice Date: 23-Jan-2013

INVOICE # 4778-038
PO Number :50

BILL_TO:

Marc Williams

80471 Smith Radial Apt. 953
Dominguezhaven, MH 10433 US
Tel:+(994)823-0790
Email:mia72@example.org
Site:https://lee-cooper.biz/

Due Date : 16-Nov-2006

361135 _ | Brother too throughout. 95.06 380.24

015784 _| Thought he. 16.43 16.43

[4.00 | 994224 _| Reality contain. 41.88 167.52

. Ly .
Note: All payments to be made in cash. TAXVAT (5.73%): 32.31 USD

Contact us for queries on these quotations. TOTAL : 576.02 USD

Total in words: five hundred and seve-
nty-six point zero two
",PO Number :50,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.73%):  32.31 USD,INVOICE,TOTAL : 576.02 USD,"Total in words:  five hundred and seve-
nty-six point zero two",Template3_Instance154.json
"BILL_TO:
John Castro
98713 Frank Passage Suite 384
Mariahville, KY 29665 US
Tel:+(794)302-4595
Email:delgadoamy@example.com
Site:https://lindsey-moore.com/",Invoice Date: 03-May-1995,Due Date : 11-Oct-2014,[],,Note:Total payment due in 14 days.,INVOICE ID 4152-939,"INVOICE

NK.NAG & CO,

Invoice Date: 03-May-1995

INVOICE ID 4152-939
PO Number :41

BILL_TO:

John Castro

98713 Frank Passage Suite 384
Mariahville, KY 29665 US
Tel:+(794)302-4595
Email:delgadoamy@example.com
Site:https://lindsey-moore.com/

Due Date : 11-Oct-2014

341423 _| Instead bank report. 71.13 71.13

[2.00 | 372276 70.14 140.28

6.00 | 354217 65.47 392.82

TAX:VAT (6.16%): 37.20 EUR
TOTAL : 620.10 EUR

Note:Total payment due in 14 days.

Total in words: six hundred and -
twenty point one
",PO Number :41,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.16%):  37.20 EUR,INVOICE,TOTAL : 620.10 EUR,"Total in words:  six hundred and -
twenty point one",Template3_Instance155.json
"BILL_TO:
Gary Cross
5528 Vickie Fords
South Heatherside, NH 42370 US
Tel:+(461)645-3690
Email:nancy42@example.com
Site:https://lutz-payne.biz/",Date: 26-Feb-2003,Due Date : 10-Feb-2005,[],,"Note:
This order is shipped through blue dart courier",INVOICE ID INV58139260,"COMMERCIAL INVOICE

NK.NAG & CO,

Date: 26-Feb-2003
INVOICE ID INV58139260
PO Number :42

BILL_TO:

Gary Cross

5528 Vickie Fords

South Heatherside, NH 42370 US
Tel:+(461)645-3690
Email:nancy42@example.com
Site:https://lutz-payne.biz/

Due Date : 10-Feb-2005

578933 __| Forget him technology. 30.14 30.14
386390 38.64 154.56

[5.00 | 283260 50.50 252.50

146489 _| Fish until happy. 55.10 165.30

16.00 | 290601 Back interest. 32.04

TAX:VAT (5.84%): 37.06 EUR
Note:

This order is shipped through blue dart courier TOTAL : 656.69 EUR

Total in words: six hundred and fift-
y-six point six nine
",PO Number :42,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.84%):  37.06 EUR,COMMERCIAL INVOICE,TOTAL : 656.69 EUR,"Total in words:  six hundred and fift-
y-six point six nine",Template3_Instance156.json
"BILL_TO:
Tammy Porter MD
8573 Christian Fords Suite 844
Whitebury, IL 60768 US
Tel:+(142)238-4026
Email:amandajohnson@example.net
Site:https://www.campos.com/",Date: 29-Jan-2017,Due Date : 24-Mar-2004,[],,Note:Total payment due in 14 days.,Invoice number 1972-854,"COMMERCIAL INVOICE

NK.NAG & CO,

Date: 29-Jan-2017

Invoice number 1972-854
PO Number :68

BILL_TO:

Tammy Porter MD

8573 Christian Fords Suite 844
Whitebury, IL 60768 US
Tel:+(142)238-4026
Email:amandajohnson@example.net
Site:https://www.campos.com/

Due Date : 24-Mar-2004

[6.00 | 417362 _| Radio culture magazine. 54.15 324.90

'4.00 | 522382 1.63

[4.00 | 766327 53.83 215.32

TAX:VAT (3.30%): 17.89 $
TOTAL : 553.89 $

Note:Total payment due in 14 days.

Total in words: five hundred and fifty-
-three point eight nine
",PO Number :68,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (3.30%):  17.89 $,COMMERCIAL INVOICE,TOTAL : 553.89 $,"Total in words:  five hundred and fifty-
-three point eight nine",Template3_Instance157.json
"BILL_TO:
Joshua Taylor
410 Michael Hill Suite 691
Bergerbury, SC 13688 US
Tel:+(334)189-8310
Email:hmiller@example.net
Site:https://www.bridges.com/",Invoice Date: 28-Jul-2016,Due Date : 30-May-2007,[],,Thank you for your business!,INVOICE # 1870-782,"INVOICE

NK.NAG & CO,

Invoice Date: 28-Jul-2016

INVOICE # 1870-782
PO Number :14

BILL_TO:

Joshua Taylor

410 Michael Hill Suite 691
Bergerbury, SC 13688 US
Tel:+(334)189-8310
Email:hmiller@example.net
Site:https://www.bridges.com/

Due Date : 30-May-2007

207396 __| Although. 25.63 25.63

746848 _| Show since standard lea. 17.07 34.14

[2.00 | 861548 77.40 154.80

[5.00 | 487059 21.59 107.95

TAX:VAT (5.52%): 17.79 EUR

Thank you for your business!
TOTAL : 335.02 EUR

Total in words: three hundred and thir-
ty-five point zero two
",PO Number :14,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.52%):  17.79 EUR,INVOICE,TOTAL : 335.02 EUR,"Total in words:  three hundred and thir-
ty-five point zero two",Template3_Instance158.json
"BILL_TO:
Michael May
29266 Sherry Row
Amandaport, TN 31298 US
Tel:+(838)341-8566
Email:eproctor@example.net
Site:https://rodriguez-carson.org/",Date: 12-Jan-2002,Due Date : 01-Jun-1999,[],,Thank you for your business!,INVOICE ID INV/86-32/847,"TAX INVOICE

NK.NAG & CO,

Date: 12-Jan-2002
INVOICE ID INV/86-32/847
PO Number :97

BILL_TO:

Michael May

29266 Sherry Row

Amandaport, TN 31298 US
Tel:+(838)341-8566
Email:eproctor@example.net
Site:https://rodriguez-carson.org/

Due Date : 01-Jun-1999

413828 _ | Call could eneray. 64.17 64.17

189272 _| Bank visit want. 87.78 87.78

519283 Check recent range resource. 24.25 121.25
676656 88.86 355.44

[5.00 | 456111 18.36 91.80

TAX:VAT (3.74%): 26.93 EUR
TOTAL : 712.93 EUR

Thank you for your business!

Total in words: seven hundred and tw-
elve point nine three
",PO Number :97,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (3.74%):  26.93 EUR,TAX INVOICE,TOTAL : 712.93 EUR,"Total in words:  seven hundred and tw-
elve point nine three",Template3_Instance159.json
"BILL_TO:
Drew Lewis
68896 Baker Fords Suite 385
South Arthur, FM 00701 US
Tel:+(767)306-1540
Email:pfields@example.net
Site:http://smith.org/",Invoice Date: 11-May-2022,Due Date : 14-Jun-2009,[],,Note:Total payment due in 14 days.,Invoice number INV/29-51/327,"TAX INVOICE

NK.NAG & CO,

Invoice Date: 11-May-2022

Invoice number INV/29-51/327
PO Number :06

BILL_TO:

Drew Lewis

68896 Baker Fords Suite 385
South Arthur, FM 00701 US
Tel:+(767)306-1540
Email:pfields@example.net
Site:http://smith.org/

Due Date : 14-Jun-2009

laty lin | Deseription | Unit price | Amoun

308614 _| Suggest traditional. 69.52 278.08
398864 ___| Song Republican reduce. 15.97 47.91

TAX:VAT (6.49%): 21.16 EUR
TOTAL : 331.70 EUR

Note:Total payment due in 14 days.

Total in words: three hundred and th-
irty-one point seven
",PO Number :06,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.49%):  21.16 EUR,TAX INVOICE,TOTAL : 331.70 EUR,"Total in words:  three hundred and th-
irty-one point seven",Template3_Instance16.json
"BILL_TO:
Shannon Lamb
39215 Rachel Ranch Apt. 305
Robertstad, NJ 75737 US
Tel:+(007)449-6323
Email:manuelpierce@example.org
Site:http://moreno.com/",Date: 18-Jan-2020,Due Date : 07-Jan-2013,[],,Note:Total payment due in 14 days.,Invoice number INV/77-77/399,"TAX INVOICE

NK.NAG & CO,

Date: 18-Jan-2020
Invoice number INV/77-77/399
PO Number :37

BILL_TO:

Shannon Lamb

39215 Rachel Ranch Apt. 305
Robertstad, NJ 75737 US
Tel:+(007)449-6323
Email:manuelpierce@example.org
Site:http://moreno.com/

Due Date : 07-Jan-2013

[5.00 | 539251 52.43 262.15

|4.00 | 939808 54.08 216.32

16.00 1817796 _| Me TV what. 36.77 220.62

TAX:VAT (3.76%): 26.29 $

Note:Total payment due in 14 days.
TOTAL : 709.51 $

Total in words: seven hundred and -
nine point five one
",PO Number :37,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (3.76%):  26.29 $,TAX INVOICE,TOTAL : 709.51 $,"Total in words:  seven hundred and -
nine point five one",Template3_Instance160.json
"BILL_TO:
Carla Rodriguez
36569 Rosario Crest Suite 071
South Michael, MS 91048 US
Tel:+(174)497-1772
Email:shannon81@example.net
Site:http://porter-marshall.com/",Invoice Date: 10-Jan-2002,Due Date : 22-Nov-1993,[],,Note:Total payment due in 14 days.,Invoice number INV78326551,"TAX INVOICE
NK.NAG & CO,

Invoice Date: 10-Jan-2002
Invoice number INV78326551
PO Number :80

BILL_TO:

Carla Rodriguez

36569 Rosario Crest Suite 071
South Michael, MS 91048 US
Tel:+(174)497-1772
Email:shannon81@example.net
Site:http://porter-marshall.com/

Due Date : 22-Nov-1993

laty lin | Deseription | Unit price | Amoun

12.00 | 791540 _| Entire let leader. 41.12 82.24
13.00 1110073 90.48 271.44

TAX:VAT (5.66%): 20.03 EUR
TOTAL : 361.26 EUR

Note:Total payment due in 14 days.

Total in words: three hundred and si-
xty-one point two six
",PO Number :80,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.66%):  20.03 EUR,TAX INVOICE,TOTAL : 361.26 EUR,"Total in words:  three hundred and si-
xty-one point two six",Template3_Instance161.json
"BILL_TO:
Todd Guzman DDS
5245 Jennifer Point Suite 224
West Barbaratown, IL 33434 US
Tel:+(137)492-0604
Email:rachellong@example.org
Site:https://proctor-bell.info/",Date: 03-Sep-2004,Due Date : 17-Sep-2021,[],,"Note:
This order is shipped through blue dart courier",INVOICE ID 2Y9M9d-708,"TAX INVOICE

NK.NAG & CO,

Date: 03-Sep-2004

INVOICE ID 2Y9M9d-708
PO Number :56

BILL_TO:

Todd Guzman DDS

5245 Jennifer Point Suite 224
West Barbaratown, IL 33434 US
Tel:+(137)492-0604
Email:rachellong@example.org
Site:https://proctor-bell.info/

Due Date : 17-Sep-2021

363057 _| Tell sister. 34.71 138.84

'6.00 | 936413 _| Fish agent material window. 48.42 290.52
[4.00 | 499557 17.69 70.76

. ‘0, .
Nite: TAX:VAT (6.67%): 37.72 $

This order is shipped through blue dart courier TOTAL : 589.62 $

Total in words: five hundred and eigh-
ty-nine point six two
",PO Number :56,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.67%):  37.72 $,TAX INVOICE,TOTAL : 589.62 $,"Total in words:  five hundred and eigh-
ty-nine point six two",Template3_Instance162.json
"BILL_TO:
Matthew Cooper
097 Rivera Port Suite 314
Port Lisaland, MI 05698 US
Tel:+(750)131-9761
Email:ryan13@example.net
Site:https://keith.com/",Invoice Date: 08-Jan-2021,Due Date : 04-Sep-1998,[],,Thank you for choosing us!,Invoice number 9139-904,"COMMERCIAL INVOICE

NK.NAG & CO,

Invoice Date: 08-Jan-2021

Invoice number 9139-904
PO Number :55

BILL_TO:

Matthew Cooper

097 Rivera Port Suite 314
Port Lisaland, MI 05698 US
Tel:+(750)131-9761
Email:ryan13@example.net
Site:https://keith.com/

Due Date : 04-Sep-1998

586231 _| Impact board fund challenge. 61.48 307.40

973311 __| Itself full. 49.46 197.84

131198 95.23 190.46

TAX:VAT (6.06%): 42.16 $
TOTAL : 712.61 $

Thank you for choosing us!

Total in words: seven hundred and t-
welve point six one
",PO Number :55,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.06%):  42.16 $,COMMERCIAL INVOICE,TOTAL : 712.61 $,"Total in words:  seven hundred and t-
welve point six one",Template3_Instance163.json
"BILL_TO:
Christopher Pena
56095 Shannon Stream
Gregoryfort, IN 27120 US
Tel:+(500)814-0349
Email:jasoncox@example.com
Site:https://www.johnson-ryan.com/",Invoice Date: 12-Feb-1996,Due Date : 12-Oct-2018,[],,"Note:
This order is shipped through blue dart courier",INVOICE # 2Y1M8d-133,"TAX INVOICE
NK.NAG & CO,

Invoice Date: 12-Feb-1996
INVOICE # 2Y1M8d-133
PO Number :60

BILL_TO:

Christopher Pena

56095 Shannon Stream
Gregoryfort, IN 27120 US
Tel:+(500)814-0349
Email:jasoncox@example.com
Site:https://www.johnson-ryan.com/

Due Date : 12-Oct-2018

laty lin | Deseription | Unit price | Amoun

750244 | Suddenly. 61.37 368.22

995613

Note: TAX:VAT (4.38%): 16.54 $
This order is shipped through blue dart courier TOTAL : 377.91 $

Total in words: three hundred and seven-
ty-seven point nine one
",PO Number :60,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.38%):  16.54 $,TAX INVOICE,TOTAL : 377.91 $,"Total in words:  three hundred and seven-
ty-seven point nine one",Template3_Instance164.json
"BILL_TO:
Jimmy Schmidt
76448 Ray Turnpike
North Sarahland, ME 84071 US
Tel:+(480)506-9308
Email:alvaradokim@example.net
Site:https://vargas.com/",Invoice Date: 10-Mar-2021,Due Date : 05-Aug-2004,[],,Thank you for choosing us!,INVOICE ID 7144-902,"INVOICE

NK.NAG & CO,

Invoice Date: 10-Mar-2021

INVOICE ID 7144-902
PO Number :76

BILL_TO:

Jimmy Schmidt

76448 Ray Turnpike

North Sarahland, ME 84071 US
Tel:+(480)506-9308
Email:alvaradokim@example.net
Site:https://vargas.com/

Due Date : 05-Aug-2004

laty lin | Deseription | Unit price | Amoun

16.00 | 979423 _| See physical remember. 28.24 169.44
068360 14.41 28.82

TAX:VAT (6.43%): 12.75 USD

Thank you for choosing us!
TOTAL : 204.78 USD

Total in words: two hundred and fou-
r point seven eight
",PO Number :76,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.43%):  12.75 USD,INVOICE,TOTAL : 204.78 USD,"Total in words:  two hundred and fou-
r point seven eight",Template3_Instance165.json
"BILL_TO:
Laurie Sanchez
25521 Jennifer Skyway Apt. 655
Daniellemouth, WY 90737 US
Tel:+(571)286-1445
Email:shawn21@example.com
Site:http://middleton.com/",Date: 26-Apr-2008,Due Date : 23-Feb-2019,[],,Note:Total payment due in 14 days.,INVOICE # 2162-018,"INVOICE

NK.NAG & CO,

Date: 26-Apr-2008
INVOICE # 2162-018
PO Number :99

BILL_TO:

Laurie Sanchez

25521 Jennifer Skyway Apt. 655
Daniellemouth, WY 90737 US
Tel:+(571)286-1445
Email:shawn21@example.com
Site:http://middleton.com/

Due Date : 23-Feb-2019

laty lin | Deseription | Unit price | Amoun

271387 _| Impact population class wide. 41.01 41.01
743183 48.95 146.85

TAX:VAT (5.20%): 9.77 USD
TOTAL : 190.36 USD

Note:Total payment due in 14 days.

Total in words: one hundred and nin-
ety point three six
",PO Number :99,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.20%):  9.77 USD,INVOICE,TOTAL : 190.36 USD,"Total in words:  one hundred and nin-
ety point three six",Template3_Instance166.json
