BUYER,DATE,INVOICE_INFO,LOGO,NOTE,NUMBER,OTHER,PO_NUMBER,SELLER_ADDRESS,SELLER_EMAIL,SELLER_NAME,SUB_TOTAL,TABLE,TAX,TOTAL,TOTAL_WORDS,_source_file
"Bill to:Victoria Robinson
204 Lucas Crossroad Apt. 921
Port Thomas, RI 16111 US
Tel:+(908)569-6530
Email:farrellgeorge@example.org
Site:https://www.newton.biz/",Invoice Date: 03-Mar-2006,[],,"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE # 3869-056,"Invoice Date: 03-Mar-2006

INVOICE # 3869-056
PO Number :36

Bill to:Victoria Robinson

204 Lucas Crossroad Apt. 921
Port Thomas, RI 16111 US
Tel:+(908)569-6530
Email:farrellgeorge@example.org
Site:https://www.newton.biz/

183583 Officer fish including. 10.92

SUB_TOTAL : 135.85 $
TAX:VAT (3.98%): 5.41 $
BALANCE DUE : 137.84 $

Total in words: one hundred and thirty-
-seven point eight four

Note: All payments to be made in cash.
Contact us for queries on these quotations.

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :36,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 135.85  $,"[[{'bbox': [[7.0, 438.8898], [523.0, 366.8898]]}]]",TAX:VAT (3.98%):  5.41 $,BALANCE DUE : 137.84 $,"Total in words:  one hundred and thirty-
-seven point eight four",Template5_Instance139.json
"Bill to:Darren Wilson
8683 Franco Park Suite 487
Lake Kennethmouth, DE 95468 US
Tel:+(685)504-7825
Email:qfernandez@example.net
Site:https://jenkins.biz/",Date: 28-Feb-2000,[],,Thank you for choosing us!,Invoice number 1Y7M5d-832,"Date: 28-Feb-2000

Invoice number 1Y7M5d-832
PO Number :63

Bill to:Darren Wilson

8683 Franco Park Suite 487

Lake Kennethmouth, DE 95468 US
Tel:+(685)504-7825
Email:qfernandez@example.net
Site:https://jenkins.biz/

600795 Until local. 44.46 44.46

092755 Approach cause. 54.14 54.14
231101 Ground available later. 49.75 99.50

SUB_TOTAL : 198.10 $
TAX:VAT (5.36%): 10.62 $
BALANCE DUE : 202.06 $

Total in words: two hundred and t-
wo point zero six

Thank you for choosing us!

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :63,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 198.10  $,"[[{'bbox': [[7.0, 438.8898], [523.0, 366.8898]]}]]",TAX:VAT (5.36%):  10.62 $,BALANCE DUE : 202.06 $,"Total in words:  two hundred and t-
wo point zero six",Template5_Instance14.json
"Bill to:Jennifer Sanchez
5736 Charles Road
West Timothy, ME 33970 US
Tel:+(333)131-6382
Email:smithrobert@example.org
Site:http://www.phillips-fleming.com/",Date: 02-Jul-2002,[],,Thank you for choosing us!,INVOICE ID INV/52-40/477,"Date: 02-Jul-2002

INVOICE ID INV/52-40/477
PO Number :06

Bill to: Jennifer Sanchez

5736 Charles Road

West Timothy, ME 33970 US
Tel:+(333)131-6382
Email:smithrobert@example.org
Site: http://www. phillips-fleming.com/

148858 Rock responsibility possible. 24.00 420.00

246124 May fish. 80.66 80.66

SUB_TOTAL : 200.66 EUR
TAX:VAT (4.26%): 8.56 EUR
BALANCE DUE : 200.59 EUR

Total in words: two hundred p-
oint five nine

Thank you for choosing us!

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :06,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 200.66  EUR,"[[{'bbox': [[7.0, 420.8898], [523.0, 366.8898]]}]]",TAX:VAT (4.26%):  8.56 EUR,BALANCE DUE : 200.59 EUR,"Total in words:  two hundred p-
oint five nine",Template5_Instance140.json
"Buyer :Mrs. Laura Butler
64879 Long Overpass
Amyview, OH 20394 US
Tel:+(679)366-6178
Email:heather46@example.net
Site:https://www.leonard.org/",Invoice Date: 07-Apr-2020,[],,"Note:
This order is shipped through blue dart courier",Invoice number 4Y1M2d-508,"Invoice Date: 07-Apr-2020

Invoice number 4Y1M2d-508
PO Number :85

Buyer :Mrs. Laura Butler
64879 Long Overpass
Amyview, OH 20394 US
Tel:+(679)366-6178
Email:heather46@example.net
Site:https://www.leonard.org/

}6.00 ‘| 515376 Natural base. 72.02 432.12
2.00 888220 Debate join condition. 24.55 49.10

SUB_TOTAL : 591.17 $
TAX:VAT (3.67%): 21.69 $
BALANCE DUE : 584.48 $

Total in words: five hundred and eight-
y-four point four eight

Note:
This order is shipped through blue dart courier

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :85,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 591.17  $,"[[{'bbox': [[7.0, 456.8898], [523.0, 366.8898]]}]]",TAX:VAT (3.67%):  21.69 $,BALANCE DUE : 584.48 $,"Total in words:  five hundred and eight-
y-four point four eight",Template5_Instance141.json
"Bill to:Stephanie Castro
44321 Barrera Meadows Suite 623
Clarkshire, CT 45089 US
Tel:+(705)769-4329
Email:elizabethpeterson@example.net
Site:http://www.espinoza.com/",Invoice Date: 13-Aug-2018,[],,Thank you for choosing us!,Invoice number 9061-163,"Invoice Date: 13-Aug-2018

Invoice number 9061-163
PO Number :54

Bill to:Stephanie Castro

44321 Barrera Meadows Suite 623
Clarkshire, CT 45089 US
Tel:+(705)769-4329
Email:elizabethpeterson@example.net
Site:http://www.espinoza.com/

299001 Ago later. 73.44 367.20

SUB_TOTAL : 684.12 $
TAX:VAT (6.56%): 44.89 $
BALANCE DUE : 702.81 $

Total in words: seven hundred and -
two point eight one

Thank you for choosing us!

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :54,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 684.12  $,"[[{'bbox': [[7.0, 438.8898], [523.0, 366.8898]]}]]",TAX:VAT (6.56%):  44.89 $,BALANCE DUE : 702.81 $,"Total in words:  seven hundred and -
two point eight one",Template5_Instance142.json
"Buyer :Abigail Harris
19247 Smith Pines Apt. 777
New Ashleymouth, FM 20738 US
Tel:+(944)156-7857
Email:perezjohnathan@example.com
Site:http://coffey-white.com/",Invoice Date: 24-Apr-1995,[],,"Note:
This order is shipped through blue dart courier",INVOICE # INV/70-02/655,"Invoice Date: 24-Apr-1995

INVOICE # INV/70-02/655
PO Number :02

Buyer :Abigail Harris

19247 Smith Pines Apt. 777

New Ashleymouth, FM 20738 US
Tel:+(944)156-7857
Email:perezjohnathan@example.com
Site:http://coffey-white.com/

SUB_TOTAL : 712.87 $
TAX:VAT (4.77%): 34.02 $
BALANCE DUE : 718.38 $

Total in words: seven hundred and eigh-
teen point three eight

Note:
This order is shipped through blue dart courier

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :02,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 712.87  $,"[[{'bbox': [[7.0, 456.8898], [523.0, 366.8898]]}]]",TAX:VAT (4.77%):  34.02 $,BALANCE DUE : 718.38 $,"Total in words:  seven hundred and eigh-
teen point three eight",Template5_Instance143.json
"Bill to:Laura Harrison
7025 Michael Route Apt. 610
New Alanchester, AS 38594 US
Tel:+(623)874-1833
Email:juan78@example.org
Site:http://taylor.biz/",Invoice Date: 18-Jan-1997,[],,Thank you for your business!,INVOICE ID INV63072827,"Invoice Date: 18-Jan-1997

INVOICE ID INV63072827
PO Number :08

Bill to:Laura Harrison

7025 Michael Route Apt. 610
New Alanchester, AS 38594 US
Tel:+(623)874-1833
Email:juan78@example.org
Site: http://taylor.biz/

859491 Small wrong. 21.25 63.75

500059 Dark finally watch. 12.92 25.84

SUB_TOTAL : 89.59 EUR
TAX:VAT (6.28%): 5.62 EUR
BALANCE DUE : 94.12 EUR

Total in words: ninety-four -
point one two

Thank you for your business!

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :08,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 89.59  EUR,"[[{'bbox': [[7.0, 420.8898], [523.0, 366.8898]]}]]",TAX:VAT (6.28%):  5.62 EUR,BALANCE DUE : 94.12 EUR,"Total in words:  ninety-four -
point one two",Template5_Instance144.json
"Bill to:Jennifer Parsons
456 Amanda Harbors
West Melanieside, MP 55569 US
Tel:+(239)497-0156
Email:evansvalerie@example.org
Site:http://cox-edwards.com/",Invoice Date: 05-Jul-2010,[],,Thank you for choosing us!,INVOICE ID 1927-937,"Invoice Date: 05-Jul-2010

INVOICE ID 1927-937
PO Number :89

Bill to: Jennifer Parsons

456 Amanda Harbors

West Melanieside, MP 55569 US
Tel:+(239)497-0156
Email:evansvalerie@example.org
Site:http://cox-edwards.com/

976543 Fast situation modern. 11.02

}6.00 | 913288 Those necessary brother. 34.50
4.00 282910 Other ok system. 93.54 374.16

SUB_TOTAL : 419.68 EUR
TAX:VAT (3.79%): 15.89 EUR
BALANCE DUE : 428.73 EUR

Total in words: four hundred and twenty-
-eight point seven three

Thank you for choosing us!

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :89,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 419.68  EUR,"[[{'bbox': [[7.0, 438.8898], [523.0, 366.8898]]}]]",TAX:VAT (3.79%):  15.89 EUR,BALANCE DUE : 428.73 EUR,"Total in words:  four hundred and twenty-
-eight point seven three",Template5_Instance145.json
"Bill to:Sherry Garrett
976 Kevin Course
Baldwinmouth, MO 52700 US
Tel:+(210)619-4917
Email:murraykevin@example.org
Site:https://wade.com/",Date: 02-Oct-2015,[],,Thank you for your business!,Invoice number 1Y2M1d-847,"Date: 02-Oct-2015

Invoice number 1Y2M1d-847
PO Number :51

Bill to:Sherry Garrett

976 Kevin Course
Baldwinmouth, MO 52700 US
Tel:+(210)619-4917
Email:murraykevin@example.org
Site:https://wade.com/

051673 Moment blue. 66.60 499.80

832465 Discuss federal return. 49.20 246,00
333439 Yard large. 89.74 179.48

SUB_TOTAL : 916.37 EUR
TAX:VAT (3.95%): 36.22 EUR
BALANCE DUE : 930.23 EUR

Total in words: nine hundred and th-
irty point two three

Thank you for your business!

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :51,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 916.37  EUR,"[[{'bbox': [[7.0, 456.8898], [523.0, 366.8898]]}]]",TAX:VAT (3.95%):  36.22 EUR,BALANCE DUE : 930.23 EUR,"Total in words:  nine hundred and th-
irty point two three",Template5_Instance146.json
"Buyer :David Hogan
5270 Lauren Islands Suite 667
Port Kevinside, KY 20127 US
Tel:+(931)028-8202
Email:nancy84@example.com
Site:http://www.anderson-campos.biz/",Invoice Date: 06-Jul-1993,[],,Thank you for your business!,INVOICE # INV31854676,"Invoice Date: 06-Jul-1993

INVOICE # INV31854676
PO Number :21

Buyer :David Hogan

5270 Lauren Islands Suite 667

Port Kevinside, KY 20127 US
Tel:+(931)028-8202
Email:nancy84@example.com
Site:http://www.anderson-campos.biz/

900859 Eat type. 37.93 189.65

SUB_TOTAL : 649.83 $
TAX:VAT (6.43%): 41.78 $
BALANCE DUE : 670.88 $

Total in words: six hundred and seve-
nty point eight eight

Thank you for your business!

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :21,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 649.83  $,"[[{'bbox': [[7.0, 438.8898], [523.0, 366.8898]]}]]",TAX:VAT (6.43%):  41.78 $,BALANCE DUE : 670.88 $,"Total in words:  six hundred and seve-
nty point eight eight",Template5_Instance147.json
"Bill to:Susan Lowe
30980 Shannon Mills
West Danielside, VI 41037 US
Tel:+(431)369-2899
Email:jonesann@example.org
Site:http://webster-hurst.com/",Date: 23-Jun-2004,[],,Thank you for choosing us!,INVOICE ID INV/20-27/182,"Date: 23-Jun-2004

INVOICE ID INV/20-27/182
PO Number :83

Bill to:Susan Lowe

30980 Shannon Mills

West Danielside, VI 41037 US
Tel:+(431)369-2899
Email:jonesann@example.org
Site:http://webster-hurst.com/

800083 Her end level. 45.34 181.36
808158 Hundred increase sometimes himself. 95.90 287.70

SUB_TOTAL : 835.62 $
TAX:VAT (4.67%): 39.01 $
BALANCE DUE : 860.51 $

Total in words: eight hundred and s-
ixty point five one

Thank you for choosing us!

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :83,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 835.62  $,"[[{'bbox': [[7.0, 456.8898], [523.0, 366.8898]]}]]",TAX:VAT (4.67%):  39.01 $,BALANCE DUE : 860.51 $,"Total in words:  eight hundred and s-
ixty point five one",Template5_Instance148.json
"Buyer :Danielle Bradley
88360 Casey Brook Suite 449
Jordanborough, MT 01670 US
Tel:+(199)547-9531
Email:riverajanice@example.org
Site:https://www.harris.com/",Date: 02-Apr-2012,[],,Thank you for your business!,INVOICE ID 3Y5M3d-707,"Date: 02-Apr-2012

INVOICE ID 3Y5M3d-707
PO Number :93

Buyer :Danielle Bradley

88360 Casey Brook Suite 449
Jordanborough, MT 01670 US
Tel:+(199)547-9531
Email:riverajanice@example.org
Site:https://www.harris.com/

682479 Its different. 80.67 322.68

893383 School somebody government. 49.36 246,80

SUB_TOTAL : 569.48 USD
TAX:VAT (4.35%): 24.79 USD
BALANCE DUE : 584.25 USD

Total in words: five hundred and eigh-
ty-four point two five

Thank you for your business!

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :93,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 569.48  USD,"[[{'bbox': [[7.0, 420.8898], [523.0, 366.8898]]}]]",TAX:VAT (4.35%):  24.79 USD,BALANCE DUE : 584.25 USD,"Total in words:  five hundred and eigh-
ty-four point two five",Template5_Instance149.json
"Bill to:Tina Durham
221 Sims Pike
West Nicholeton, PA 63841 US
Tel:+(628)074-9980
Email:colejake@example.org
Site:https://www.thomas.info/",Invoice Date: 15-Jan-2022,[],,Thank you for choosing us!,INVOICE # 8446-658,"Invoice Date: 15-Jan-2022

INVOICE # 8446-658
PO Number :67

Bill to:Tina Durham

221 Sims Pike

West Nicholeton, PA 63841 US
Tel:+(628)074-9980
Email:colejake@example.org
Site:https://www.thomas.info/

499041 Tough resource grow. 82.64 165.28

}6.00 | 108672 Difference modern only. 61.82 370.92
2.00 956710 Deep paper mean. 72.37 144.74

SUB_TOTAL : 680.94 EUR
TAX:VAT (6.68%): 45.49 EUR
BALANCE DUE : 716.83 EUR

Total in words: seven hundred and six-
teen point eight three

Thank you for choosing us!

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :67,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 680.94  EUR,"[[{'bbox': [[7.0, 438.8898], [523.0, 366.8898]]}]]",TAX:VAT (6.68%):  45.49 EUR,BALANCE DUE : 716.83 EUR,"Total in words:  seven hundred and six-
teen point eight three",Template5_Instance15.json
"Bill to:Robert Bell
88768 Nguyen Tunnel Apt. 961
Lake Michelleborough, MT 57165 US
Tel:+(679)766-6916
Email:mwilliams@example.net
Site:https://novak.info/",Date: 19-Feb-1993,[],,Thank you for your business!,INVOICE # INV51064534,"Date: 19-Feb-1993

INVOICE # INV51064534
PO Number :34

Bill to:Robert Bell

88768 Nguyen Tunnel Apt. 961

Lake Michelleborough, MT 57165 US
Tel:+(679)766-6916
Email:mwilliams@example.net
Site:https://novak.info/

}6.00 | 550534 Blood girl save. 60.01 360.06

984583 Individual miss. 19.09 38.18
827110 Report high. 77.04 154.08

SUB_TOTAL : 664.31 USD
TAX:VAT (5.20%): 34.56 USD
BALANCE DUE : 674.82 USD

Total in words: six hundred and sevent-
y-four point eight two

Thank you for your business!

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :34,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 664.31  USD,"[[{'bbox': [[7.0, 456.8898], [523.0, 366.8898]]}]]",TAX:VAT (5.20%):  34.56 USD,BALANCE DUE : 674.82 USD,"Total in words:  six hundred and sevent-
y-four point eight two",Template5_Instance150.json
"Bill to:Kristopher Duncan
5769 Taylor Heights Apt. 790
South Christinaburgh, TX 92231 US
Tel:+(871)599-9587
Email:sschroeder@example.net
Site:http://brown.info/",Date: 21-Jun-1996,[],,Thank you for choosing us!,Invoice number 4084-032,"Date: 21-Jun-1996

Invoice number 4084-032
PO Number :92

Bill to:Kristopher Duncan

5769 Taylor Heights Apt. 790

South Christinaburgh, TX 92231 US
Tel:+(871)599-9587
Email:sschroeder@example.net
Site: http://brown.info/

126650 Company support commercial. 92.16 276.48
577179 Yes fund security. 70.53 70.53

SUB_TOTAL : 390.06 EUR
TAX:VAT (6.45%): 25.16 EUR
BALANCE DUE : 406.44 EUR

Total in words: four hundred and s-
ix point four four

Thank you for choosing us!

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :92,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 390.06  EUR,"[[{'bbox': [[7.0, 438.8898], [523.0, 366.8898]]}]]",TAX:VAT (6.45%):  25.16 EUR,BALANCE DUE : 406.44 EUR,"Total in words:  four hundred and s-
ix point four four",Template5_Instance151.json
"Buyer :Gloria Griffin
3069 Rick Crossing Apt. 040
Georgebury, WV 79168 US
Tel:+(718)029-2970
Email:rachelwang@example.org
Site:http://www.peterson.com/",Date: 02-Feb-2002,[],,"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE # 4291-900,"Date: 02-Feb-2002

INVOICE # 4291-900
PO Number :42

Buyer :Gloria Griffin

3069 Rick Crossing Apt. 040
Georgebury, WV 79168 US
Tel:+(718)029-2970
Email:rachelwang@example.org
Site:http://www.peterson.com/

}6.00 ‘| 572378 Include carry. 38.62 231.72
4.00 745430 Heavy party. 77.31 309.24

SUB_TOTAL : 649.89 EUR
TAX:VAT (3.98%): 25.88 EUR
BALANCE DUE : 644.12 EUR

Total in words: six hundred and fort-
y-four point one two

Note: All payments to be made in cash.
Contact us for queries on these quotations.

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :42,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 649.89  EUR,"[[{'bbox': [[7.0, 438.8898], [523.0, 366.8898]]}]]",TAX:VAT (3.98%):  25.88 EUR,BALANCE DUE : 644.12 EUR,"Total in words:  six hundred and fort-
y-four point one two",Template5_Instance152.json
"Buyer :Jason Costa
508 Schmidt Ramp
Roseview, WI 79683 US
Tel:+(018)580-0375
Email:stephanieanderson@example.com
Site:https://singh.com/",Invoice Date: 19-Jun-2012,[],,Thank you for choosing us!,INVOICE ID INV/03-16/685,"Invoice Date: 19-Jun-2012

INVOICE ID INV/03-16/685
PO Number :35

Buyer :Jason Costa

508 Schmidt Ramp

Roseview, WI 79683 US
Tel:+(018)580-0375
Email:stephanieanderson@example.com
Site:https://singh.com/

428403 Heart speak meet. 56.84 227.36

}6.00 | 115996 Go almost wonder. 50.04 300.24
225624 War. 24.61 423.05
756164 Figure special everybody much. 51.27 102.54

SUB_TOTAL : 784.29 EUR
TAX:VAT (5.85%): 45.88 EUR
BALANCE DUE : 812.13 EUR

Total in words: eight hundred and tw-
elve point one three

Thank you for choosing us!

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :35,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 784.29  EUR,"[[{'bbox': [[7.0, 474.8898], [523.0, 366.8898]]}]]",TAX:VAT (5.85%):  45.88 EUR,BALANCE DUE : 812.13 EUR,"Total in words:  eight hundred and tw-
elve point one three",Template5_Instance153.json
"Bill to:Evelyn Norris
32279 Salazar Lakes Apt. 201
Hubbardton, AK 23269 US
Tel:+(159)169-8072
Email:jfoster@example.net
Site:http://www.salinas.com/",Invoice Date: 26-Nov-1994,[],,Thank you for choosing us!,Invoice number INV29672678,"Invoice Date: 26-Nov-1994

Invoice number INV29672678
PO Number :43

Bill to:Evelyn Norris

32279 Salazar Lakes Apt. 201
Hubbardton, AK 23269 US
Tel:+(159)169-8072
Email:jfoster@example.net
Site:http://www.salinas.com/

409833 High new improve. 66.16 432.32

404113 Century both manager. 13.04 26.08
}6.00 | 465816 Member party pattern. 31.67 490.02

SUB_TOTAL : 348.42 $
TAX:VAT (5.75%): 20.03 $
BALANCE DUE : 359.63 $

Total in words: three hundred and fift-
y-nine point six three

Thank you for choosing us!

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :43,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 348.42  $,"[[{'bbox': [[7.0, 438.8898], [523.0, 366.8898]]}]]",TAX:VAT (5.75%):  20.03 $,BALANCE DUE : 359.63 $,"Total in words:  three hundred and fift-
y-nine point six three",Template5_Instance154.json
"Bill to:Joshua Moore
64241 Johnson Rest Apt. 472
New Alison, AZ 51799 US
Tel:+(828)185-2921
Email:frankyoung@example.net
Site:https://price-patterson.com/",Invoice Date: 21-Feb-1994,[],,Thank you for your business!,INVOICE # 9Y1M1d-438,"Invoice Date: 21-Feb-1994

INVOICE # 9Y1M1d-438
PO Number :07

Bill to: Joshua Moore

64241 Johnson Rest Apt. 472
New Alison, AZ 51799 US
Tel:+(828)185-2921
Email:frankyoung@example.net
Site:https://price-patterson.com/

920839 Simple then society. 78,33 234,99

045942 Relationship court analysis. 44.16 44.16
691562 Structure some most. 97.26 291.78

SUB_TOTAL : 582.21 $
TAX:VAT (5.51%): 32.09 $
BALANCE DUE : 606.73 $

Total in words: six hundred and si-
X point seven three

Thank you for your business!

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :07,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 582.21  $,"[[{'bbox': [[7.0, 456.8898], [523.0, 366.8898]]}]]",TAX:VAT (5.51%):  32.09 $,BALANCE DUE : 606.73 $,"Total in words:  six hundred and si-
x point seven three",Template5_Instance155.json
"Bill to:Taylor Jones
77235 Parker Gateway Apt. 509
Hendersonmouth, TN 20095 US
Tel:+(479)313-1691
Email:sdean@example.com
Site:http://www.maddox.com/",Date: 13-Mar-2007,[],,Note:Total payment due in 14 days.,Invoice number 2520-262,"Date: 13-Mar-2007

Invoice number 2520-262
PO Number :31

Bill to:Taylor Jones

77235 Parker Gateway Apt. 509
Hendersonmouth, TN 20095 US
Tel:+(479)313-1691
Email:sdean@example.com
Site:http://www.maddox.com/

688385 Other audience air. 92.18 368.72

932316 Body magazine. 64.14 64.14

SUB_TOTAL : 432.86 EUR
TAX:VAT (3.23%): 13.97 EUR
BALANCE DUE : 437.83 EUR

Total in words: four hundred and thirty-
-seven point eight three

Note:Total payment due in 14 days.

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :31,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 432.86  EUR,"[[{'bbox': [[7.0, 420.8898], [523.0, 366.8898]]}]]",TAX:VAT (3.23%):  13.97 EUR,BALANCE DUE : 437.83 EUR,"Total in words:  four hundred and thirty-
-seven point eight three",Template5_Instance156.json
"Bill to:James Wright
443 Edwards Radial
Port Dawn, NV 71924 US
Tel:+(987)408-5057
Email:diane92@example.org
Site:https://bell-petersen.com/",Date: 02-Aug-2022,[],,Thank you for choosing us!,Invoice number INV/55-52/084,"Date: 02-Aug-2022

Invoice number INV/55-52/084
PO Number :54

Bill to: James Wright

443 Edwards Radial

Port Dawn, NV 71924 US
Tel:+(987)408-5057
Email:diane92@example.org
Site:https://bell-petersen.com/

874437 Talk popular right. 85.62 85.62

514249 Store bag leader. 94,23 282.69
692397 Staff happy put. 15.23 45.69

SUB_TOTAL : 803.20 $
TAX:VAT (3.63%): 29.16 $
BALANCE DUE : 810.11 $

Total in words: eight hundred and-
ten point one one

Thank you for choosing us!

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :54,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 803.20  $,"[[{'bbox': [[7.0, 456.8898], [523.0, 366.8898]]}]]",TAX:VAT (3.63%):  29.16 $,BALANCE DUE : 810.11 $,"Total in words:  eight hundred and-
ten point one one",Template5_Instance157.json
"Bill to:Alan Armstrong
9564 Sullivan Stravenue
Elliottshire, AL 56714 US
Tel:+(692)602-4051
Email:batesnatasha@example.org
Site:http://miller.com/",Date: 05-May-2015,[],,"Note: All payments to be made in cash.
Contact us for queries on these quotations.",Invoice number INV/82-02/498,"Date: 05-May-2015

Invoice number INV/82-02/498
PO Number :45

Bill to:Alan Armstrong

9564 Sullivan Stravenue
Elliottshire, AL 56714 US
Tel:+(692)602-4051
Email:batesnatasha@example.org
Site:http://miller.com/

2.00 104524 Rate structure nothing. 65.62 131.24

SUB_TOTAL : 702.56 USD
TAX:VAT (5.19%): 36.47 USD
BALANCE DUE : 724.28 USD

Total in words: seven hundred and twen-
ty-four point two eight

Note: All payments to be made in cash.
Contact us for queries on these quotations.

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :45,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 702.56  USD,"[[{'bbox': [[7.0, 420.8898], [523.0, 366.8898]]}]]",TAX:VAT (5.19%):  36.47 USD,BALANCE DUE : 724.28 USD,"Total in words:  seven hundred and twen-
ty-four point two eight",Template5_Instance158.json
