BILL_TO,CURRENCY,DATE,DATE_NORM,DISCOUNT_AMOUNT,DUE_DATE,DUE_DATE_NORM,INVOICE_INFO,NOTE,NUMBER,PO_NUMBER,SELLER_NAME,SUB_TOTAL_AMOUNT,TABLE,TAX,TAX_AMOUNT,TITLE,TOTAL,TOTAL_AMOUNT,TOTAL_WORDS,_source_file
"BILL_TO:
Mary Winters
903 Jose Court Suite 741
Thompsontown, AR 55049 US
Tel:+(876)299-2636
Email:sherri77@example.com
Site:http://burke.biz/",USD,Date: 02-Aug-2000,2000-08-02,,Due Date : 05-Sep-2015,2015-09-05,[],"Note:
This order is shipped through blue dart courier",INVOICE # INV/18-85/250,PO Number :31,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.63%):  40.37 USD,40.37,INVOICE,TOTAL : 624.04 USD,624.04,"Total in words:  six hundred and twent-
y-four point zero four",Template3_Instance137.json
"BILL_TO:
Amanda Ross
2432 Conley Mountains Apt. 464
Brianchester, CT 09821 US
Tel:+(074)168-0199
Email:raymondphillips@example.org
Site:https://davidson.com/",EUR,Invoice Date: 17-Oct-1997,1997-10-17,,Due Date : 11-Jan-2006,2006-01-11,[],"Note:
This order is shipped through blue dart courier",INVOICE ID 9Y7M4d-272,PO Number :99,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (3.58%):  23.72 EUR,23.72,TAX INVOICE,TOTAL : 668.43 EUR,668.43,"Total in words:  six hundred and sixty--
eight point four three",Template3_Instance138.json
"BILL_TO:
Scott Byrd
5422 Melanie Springs Suite 507
Perezton, VT 33998 US
Tel:+(488)012-5489
Email:natalie35@example.com
Site:https://www.preston-brown.info/",EUR,Invoice Date: 31-Jan-2019,2019-01-31,,Due Date : 29-Nov-2005,2005-11-29,[],Note:Total payment due in 14 days.,INVOICE ID INV62482331,PO Number :95,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.74%):  77.15 EUR,77.15,COMMERCIAL INVOICE,TOTAL : 1369.47 EUR,9.47,"Total in words:  one thousand, three hundred a-
nd sixty-nine point four seven",Template3_Instance139.json
"BILL_TO:
Laura Mendez
13996 Leslie Rapids Apt. 053
North Amy, NJ 11749 US
Tel:+(998)182-5768
Email:codycampbell@example.com
Site:https://wade.org/",USD,Date: 20-May-2001,2001-05-20,,Due Date : 30-Oct-1999,1999-10-30,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE # INV/23-91/204,PO Number :98,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.73%):  17.43 USD,17.43,COMMERCIAL INVOICE,TOTAL : 265.39 USD,265.39,"Total in words:  two hundred and sixty-
-five point three nine",Template3_Instance14.json
"BILL_TO:
Jeffrey Bailey
1520 Grant Inlet
Danielletown, RI 98370 US
Tel:+(251)540-5369
Email:mariacrane@example.com
Site:https://www.lane.net/",USD,Date: 24-Dec-2004,2004-12-24,,Due Date : 20-Jan-1994,1994-01-20,[],Thank you for your business!,Invoice number 9901-505,PO Number :89,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.75%):  37.17 $,37.17,COMMERCIAL INVOICE,TOTAL : 579.55 $,579.55,"Total in words:  five hundred and seven-
ty-nine point five five",Template3_Instance140.json
"BILL_TO:
Debbie Lee
1259 Brandi Groves Suite 797
North Kellyport, FM 55129 US
Tel:+(401)659-3453
Email:patrick29@example.net
Site:http://cole.net/",EUR,Invoice Date: 23-Jul-2007,2007-07-23,,Due Date : 17-Feb-2005,2005-02-17,[],"Note:
This order is shipped through blue dart courier",INVOICE # 0275-933,PO Number :42,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (3.02%):  12.73 EUR,12.73,COMMERCIAL INVOICE,TOTAL : 428.20 EUR,428.2,"Total in words:  four hundred and tw-
enty-eight point two",Template3_Instance141.json
"BILL_TO:
Matthew Lyons
5176 Richard Corner
Holtbury, MD 64880 US
Tel:+(759)372-5079
Email:umiller@example.net
Site:https://www.anderson.com/",USD,Date: 10-Oct-2013,2013-10-10,,Due Date : 18-Mar-2003,2003-03-18,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE # 6835-194,PO Number :64,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (3.10%):  8.03 USD,8.03,TAX INVOICE,TOTAL : 255.17 USD,255.17,"Total in words:  two hundred and fifty-
-five point one seven",Template3_Instance142.json
"BILL_TO:
Joanne Fletcher
45319 Brent Knoll Apt. 178
Jacksonville, FM 30089 US
Tel:+(312)318-3848
Email:landrycarlos@example.org
Site:https://joyce.com/",USD,Date: 12-Sep-2017,2017-09-12,,Due Date : 21-Jun-1997,1997-06-21,[],Thank you for choosing us!,Invoice number 9Y4M7d-302,PO Number :51,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (3.89%):  22.76 USD,22.76,COMMERCIAL INVOICE,TOTAL : 593.10 USD,593.1,"Total in words:  five hundred and ni-
nety-three point one",Template3_Instance143.json
"BILL_TO:
Susan Thomas
42141 Jordan Springs
Rachelstad, PA 21768 US
Tel:+(232)371-6283
Email:hannah65@example.com
Site:https://patterson-smith.com/",EUR,Invoice Date: 26-May-2001,2001-05-26,,Due Date : 05-Jul-2021,2021-07-05,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE # 7Y1M7d-813,PO Number :18,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.37%):  14.03 EUR,14.03,TAX INVOICE,TOTAL : 329.61 EUR,329.61,"Total in words:  three hundred and twe-
nty-nine point six one",Template3_Instance144.json
"BILL_TO:
John Mays
4039 Charles Bypass Suite 936
South Jesse, NH 91279 US
Tel:+(964)424-1395
Email:campbellkristin@example.org
Site:http://bradley.com/",USD,Invoice Date: 17-May-2016,2016-05-17,,Due Date : 24-Jan-2002,2002-01-24,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE # 5Y5M3d-947,PO Number :97,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.85%):  78.57 USD,78.57,TAX INVOICE,TOTAL : 1200.33 USD,0.33,"Total in words:  one thousand, two hun-
dred point three three",Template3_Instance145.json
"BILL_TO:
Sara Chandler
3238 Banks Stravenue Suite 183
East Catherine, NE 17999 US
Tel:+(790)089-5378
Email:alexanderjohn@example.org
Site:https://davis.com/",USD,Date: 25-Dec-2000,2000-12-25,,Due Date : 21-Jan-2004,2004-01-21,[],Note:Total payment due in 14 days.,Invoice number INV25680421,PO Number :71,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.00%):  58.61 $,58.61,COMMERCIAL INVOICE,TOTAL : 1003.00 $,3.0,"Total in words:  one thousan-
d and three",Template3_Instance146.json
"BILL_TO:
James Gibson
86859 Jones Rue
Elijahmouth, OR 26291 US
Tel:+(938)915-3063
Email:mwaters@example.org
Site:http://www.carr-warren.com/",USD,Date: 07-Oct-2021,2021-10-07,,Due Date : 17-Aug-2022,2022-08-17,[],Thank you for choosing us!,INVOICE # 6Y7M1d-126,PO Number :94,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.15%):  24.76 $,24.76,COMMERCIAL INVOICE,TOTAL : 609.46 $,609.46,"Total in words:  six hundred and n-
ine point four six",Template3_Instance147.json
"BILL_TO:
Victoria Cooper
78463 Jessica Via Suite 533
Edwardfort, PR 21787 US
Tel:+(611)708-8318
Email:alvarezgina@example.org
Site:http://www.butler-tyler.com/",USD,Date: 24-Jan-1995,1995-01-24,,Due Date : 31-Mar-2002,2002-03-31,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE # 2Y7M9d-521,PO Number :02,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.88%):  37.76 USD,37.76,INVOICE,TOTAL : 774.42 USD,774.42,"Total in words:  seven hundred and seve-
nty-four point four two",Template3_Instance148.json
"BILL_TO:
Amanda Snow
870 Charles Mount
Lake Annebury, KY 77091 US
Tel:+(816)522-4532
Email:david99@example.net
Site:https://garcia.com/",USD,Date: 01-Sep-2018,2018-09-01,,Due Date : 31-Jan-2022,2022-01-31,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE ID INV/27-74/488,PO Number :47,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.85%):  31.98 $,31.98,COMMERCIAL INVOICE,TOTAL : 478.74 $,478.74,"Total in words:  four hundred and sevent-
y-eight point seven four",Template3_Instance149.json
"BILL_TO:
Ryan Gates
566 Reginald Inlet Suite 746
Lake Michael, WY 95694 US
Tel:+(686)107-8962
Email:marc66@example.net
Site:https://cooper-cooper.com/",USD,Date: 16-Feb-2009,2009-02-16,,Due Date : 30-Oct-2009,2009-10-30,[],Thank you for your business!,INVOICE ID INV60345116,PO Number :60,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.93%):  32.74 USD,32.74,TAX INVOICE,TOTAL : 675.56 USD,675.56,"Total in words:  six hundred and seven-
ty-five point five six",Template3_Instance15.json
"BILL_TO:
Margaret Christian
919 Jeffrey Burgs Suite 568
East Thomashaven, MT 51917 US
Tel:+(148)326-0726
Email:olittle@example.net
Site:https://rice.com/",USD,Invoice Date: 17-Aug-1999,1999-08-17,,Due Date : 16-Jan-2017,2017-01-16,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.",Invoice number 2Y5M4d-448,PO Number :02,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.21%):  19.95 USD,19.95,INVOICE,TOTAL : 385.98 USD,385.98,"Total in words:  three hundred and eight-
y-five point nine eight",Template3_Instance150.json
"BILL_TO:
Lance Anderson
462 Jacob Dale Apt. 622
North Susanton, WV 82021 US
Tel:+(202)700-7015
Email:valenzuelanicholas@example.com
Site:https://www.miranda.com/",USD,Date: 05-Apr-2004,2004-04-05,,Due Date : 23-Jan-1996,1996-01-23,[],Note:Total payment due in 14 days.,INVOICE # INV61998659,PO Number :99,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (3.51%):  27.78 USD,27.78,COMMERCIAL INVOICE,TOTAL : 799.93 USD,799.93,"Total in words:  seven hundred and ninet-
y-nine point nine three",Template3_Instance151.json
"BILL_TO:
Victor Nguyen
86614 Martin Road
Judyview, CA 67741 US
Tel:+(362)582-3775
Email:lanelarry@example.com
Site:https://wright.com/",USD,Date: 31-Oct-2002,2002-10-31,,Due Date : 18-Nov-2010,2010-11-18,[],Note:Total payment due in 14 days.,Invoice number 5Y1M9d-474,PO Number :76,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.83%):  17.14 $,17.14,COMMERCIAL INVOICE,TOTAL : 357.41 $,357.41,"Total in words:  three hundred and fift-
y-seven point four one",Template3_Instance152.json
"BILL_TO:
Allison Marsh
505 Meagan Shore Apt. 622
Ronaldshire, MH 79677 US
Tel:+(179)978-9335
Email:susanduncan@example.net
Site:https://www.miller-collins.biz/",USD,Date: 01-Oct-2015,2015-10-01,,Due Date : 30-Jun-1998,1998-06-30,[],Thank you for your business!,INVOICE ID INV86937928,PO Number :19,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.29%):  64.48 $,64.48,COMMERCIAL INVOICE,TOTAL : 1059.89 $,9.89,"Total in words:  one thousand and fifty-
-nine point eight nine",Template3_Instance153.json
"BILL_TO:
Marc Williams
80471 Smith Radial Apt. 953
Dominguezhaven, MH 10433 US
Tel:+(994)823-0790
Email:mia72@example.org
Site:https://lee-cooper.biz/",USD,Invoice Date: 23-Jan-2013,2013-01-23,,Due Date : 16-Nov-2006,2006-11-16,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE # 4778-038,PO Number :50,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.73%):  32.31 USD,32.31,INVOICE,TOTAL : 576.02 USD,576.02,"Total in words:  five hundred and seve-
nty-six point zero two",Template3_Instance154.json
"BILL_TO:
John Castro
98713 Frank Passage Suite 384
Mariahville, KY 29665 US
Tel:+(794)302-4595
Email:delgadoamy@example.com
Site:https://lindsey-moore.com/",EUR,Invoice Date: 03-May-1995,1995-05-03,,Due Date : 11-Oct-2014,2014-10-11,[],Note:Total payment due in 14 days.,INVOICE ID 4152-939,PO Number :41,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.16%):  37.20 EUR,37.2,INVOICE,TOTAL : 620.10 EUR,620.1,"Total in words:  six hundred and -
twenty point one",Template3_Instance155.json
"BILL_TO:
Gary Cross
5528 Vickie Fords
South Heatherside, NH 42370 US
Tel:+(461)645-3690
Email:nancy42@example.com
Site:https://lutz-payne.biz/",EUR,Date: 26-Feb-2003,2003-02-26,,Due Date : 10-Feb-2005,2005-02-10,[],"Note:
This order is shipped through blue dart courier",INVOICE ID INV58139260,PO Number :42,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.84%):  37.06 EUR,37.06,COMMERCIAL INVOICE,TOTAL : 656.69 EUR,656.69,"Total in words:  six hundred and fift-
y-six point six nine",Template3_Instance156.json
"BILL_TO:
Tammy Porter MD
8573 Christian Fords Suite 844
Whitebury, IL 60768 US
Tel:+(142)238-4026
Email:amandajohnson@example.net
Site:https://www.campos.com/",USD,Date: 29-Jan-2017,2017-01-29,,Due Date : 24-Mar-2004,2004-03-24,[],Note:Total payment due in 14 days.,Invoice number 1972-854,PO Number :68,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (3.30%):  17.89 $,17.89,COMMERCIAL INVOICE,TOTAL : 553.89 $,553.89,"Total in words:  five hundred and fifty-
-three point eight nine",Template3_Instance157.json
"BILL_TO:
Joshua Taylor
410 Michael Hill Suite 691
Bergerbury, SC 13688 US
Tel:+(334)189-8310
Email:hmiller@example.net
Site:https://www.bridges.com/",EUR,Invoice Date: 28-Jul-2016,2016-07-28,,Due Date : 30-May-2007,2007-05-30,[],Thank you for your business!,INVOICE # 1870-782,PO Number :14,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.52%):  17.79 EUR,17.79,INVOICE,TOTAL : 335.02 EUR,335.02,"Total in words:  three hundred and thir-
ty-five point zero two",Template3_Instance158.json
"BILL_TO:
Michael May
29266 Sherry Row
Amandaport, TN 31298 US
Tel:+(838)341-8566
Email:eproctor@example.net
Site:https://rodriguez-carson.org/",EUR,Date: 12-Jan-2002,2002-01-12,,Due Date : 01-Jun-1999,1999-06-01,[],Thank you for your business!,INVOICE ID INV/86-32/847,PO Number :97,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (3.74%):  26.93 EUR,26.93,TAX INVOICE,TOTAL : 712.93 EUR,712.93,"Total in words:  seven hundred and tw-
elve point nine three",Template3_Instance159.json
"BILL_TO:
Drew Lewis
68896 Baker Fords Suite 385
South Arthur, FM 00701 US
Tel:+(767)306-1540
Email:pfields@example.net
Site:http://smith.org/",EUR,Invoice Date: 11-May-2022,2022-05-11,,Due Date : 14-Jun-2009,2009-06-14,[],Note:Total payment due in 14 days.,Invoice number INV/29-51/327,PO Number :06,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.49%):  21.16 EUR,21.16,TAX INVOICE,TOTAL : 331.70 EUR,331.7,"Total in words:  three hundred and th-
irty-one point seven",Template3_Instance16.json
"BILL_TO:
Shannon Lamb
39215 Rachel Ranch Apt. 305
Robertstad, NJ 75737 US
Tel:+(007)449-6323
Email:manuelpierce@example.org
Site:http://moreno.com/",USD,Date: 18-Jan-2020,2020-01-18,,Due Date : 07-Jan-2013,2013-01-07,[],Note:Total payment due in 14 days.,Invoice number INV/77-77/399,PO Number :37,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (3.76%):  26.29 $,26.29,TAX INVOICE,TOTAL : 709.51 $,709.51,"Total in words:  seven hundred and -
nine point five one",Template3_Instance160.json
"BILL_TO:
Carla Rodriguez
36569 Rosario Crest Suite 071
South Michael, MS 91048 US
Tel:+(174)497-1772
Email:shannon81@example.net
Site:http://porter-marshall.com/",EUR,Invoice Date: 10-Jan-2002,2002-01-10,,Due Date : 22-Nov-1993,1993-11-22,[],Note:Total payment due in 14 days.,Invoice number INV78326551,PO Number :80,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.66%):  20.03 EUR,20.03,TAX INVOICE,TOTAL : 361.26 EUR,361.26,"Total in words:  three hundred and si-
xty-one point two six",Template3_Instance161.json
"BILL_TO:
Todd Guzman DDS
5245 Jennifer Point Suite 224
West Barbaratown, IL 33434 US
Tel:+(137)492-0604
Email:rachellong@example.org
Site:https://proctor-bell.info/",USD,Date: 03-Sep-2004,2004-09-03,,Due Date : 17-Sep-2021,2021-09-17,[],"Note:
This order is shipped through blue dart courier",INVOICE ID 2Y9M9d-708,PO Number :56,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.67%):  37.72 $,37.72,TAX INVOICE,TOTAL : 589.62 $,589.62,"Total in words:  five hundred and eigh-
ty-nine point six two",Template3_Instance162.json
"BILL_TO:
Matthew Cooper
097 Rivera Port Suite 314
Port Lisaland, MI 05698 US
Tel:+(750)131-9761
Email:ryan13@example.net
Site:https://keith.com/",USD,Invoice Date: 08-Jan-2021,2021-01-08,,Due Date : 04-Sep-1998,1998-09-04,[],Thank you for choosing us!,Invoice number 9139-904,PO Number :55,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.06%):  42.16 $,42.16,COMMERCIAL INVOICE,TOTAL : 712.61 $,712.61,"Total in words:  seven hundred and t-
welve point six one",Template3_Instance163.json
"BILL_TO:
Christopher Pena
56095 Shannon Stream
Gregoryfort, IN 27120 US
Tel:+(500)814-0349
Email:jasoncox@example.com
Site:https://www.johnson-ryan.com/",USD,Invoice Date: 12-Feb-1996,1996-02-12,,Due Date : 12-Oct-2018,2018-10-12,[],"Note:
This order is shipped through blue dart courier",INVOICE # 2Y1M8d-133,PO Number :60,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.38%):  16.54 $,16.54,TAX INVOICE,TOTAL : 377.91 $,377.91,"Total in words:  three hundred and seven-
ty-seven point nine one",Template3_Instance164.json
"BILL_TO:
Jimmy Schmidt
76448 Ray Turnpike
North Sarahland, ME 84071 US
Tel:+(480)506-9308
Email:alvaradokim@example.net
Site:https://vargas.com/",USD,Invoice Date: 10-Mar-2021,2021-03-10,,Due Date : 05-Aug-2004,2004-08-05,[],Thank you for choosing us!,INVOICE ID 7144-902,PO Number :76,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.43%):  12.75 USD,12.75,INVOICE,TOTAL : 204.78 USD,204.78,"Total in words:  two hundred and fou-
r point seven eight",Template3_Instance165.json
"BILL_TO:
Laurie Sanchez
25521 Jennifer Skyway Apt. 655
Daniellemouth, WY 90737 US
Tel:+(571)286-1445
Email:shawn21@example.com
Site:http://middleton.com/",USD,Date: 26-Apr-2008,2008-04-26,,Due Date : 23-Feb-2019,2019-02-23,[],Note:Total payment due in 14 days.,INVOICE # 2162-018,PO Number :99,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.20%):  9.77 USD,9.77,INVOICE,TOTAL : 190.36 USD,190.36,"Total in words:  one hundred and nin-
ety point three six",Template3_Instance166.json
"BILL_TO:
Deborah Wyatt
391 Phillips Turnpike
South Danny, AL 83500 US
Tel:+(928)451-1141
Email:ajenkins@example.org
Site:http://diaz-johnson.com/",EUR,Date: 03-Mar-1996,1996-03-03,,Due Date : 07-Mar-2014,2014-03-07,[],Thank you for choosing us!,INVOICE ID 6Y9M8d-936,PO Number :00,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.95%):  70.06 EUR,70.06,TAX INVOICE,TOTAL : 1055.25 EUR,5.25,"Total in words:  one thousand and fift-
y-five point two five",Template3_Instance167.json
"BILL_TO:
Christopher Perez
782 Kim Burgs Suite 940
Josephton, PR 41166 US
Tel:+(601)467-2052
Email:allenmarilyn@example.com
Site:https://www.barrett.com/",USD,Date: 30-Jan-1996,1996-01-30,,Due Date : 02-Jan-1999,1999-01-02,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE # INV41898186,PO Number :35,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.42%):  14.44 USD,14.44,INVOICE,TOTAL : 275.59 USD,275.59,"Total in words:  two hundred and sevent-
y-five point five nine",Template3_Instance168.json
"BILL_TO:
Nathaniel York
4832 Sarah Dale Apt. 094
Carrollmouth, NV 23157 US
Tel:+(507)968-4071
Email:matthewhorton@example.org
Site:https://fowler.com/",USD,Invoice Date: 19-Aug-2011,2011-08-19,,Due Date : 07-Mar-2003,2003-03-07,[],Thank you for choosing us!,INVOICE ID 9804-083,PO Number :92,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (3.44%):  15.52 $,15.52,TAX INVOICE,TOTAL : 457.52 $,457.52,"Total in words:  four hundred and fift-
y-seven point five two",Template3_Instance169.json
"BILL_TO:
Thomas Powers
3230 Eric Pike Suite 226
North Elizabeth, FL 66387 US
Tel:+(073)109-2858
Email:smithpeter@example.net
Site:http://lewis-evans.com/",USD,Invoice Date: 01-Jan-2013,2013-01-01,,Due Date : 24-Feb-2022,2022-02-24,[],Thank you for your business!,Invoice number 6Y2M2d-380,PO Number :38,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.28%):  7.98 USD,7.98,COMMERCIAL INVOICE,TOTAL : 129.38 USD,129.38,"Total in words:  one hundred and twenty-
-nine point three eight",Template3_Instance17.json
"BILL_TO:
Jennifer Erickson
01257 Timothy Trail Apt. 918
Andrewsfort, CO 10104 US
Tel:+(933)618-7105
Email:chrishernandez@example.org
Site:https://jackson.info/",EUR,Date: 04-Nov-2006,2006-11-04,,Due Date : 20-Dec-2004,2004-12-20,[],Thank you for your business!,INVOICE # 8Y7M1d-707,PO Number :07,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.26%):  40.12 EUR,40.12,COMMERCIAL INVOICE,TOTAL : 945.21 EUR,945.21,"Total in words:  nine hundred and for-
ty-five point two one",Template3_Instance170.json
"BILL_TO:
Steven Phillips
24469 Tanya Bypass Apt. 182
Nicholasshire, CO 75361 US
Tel:+(391)618-6604
Email:joegaines@example.net
Site:http://www.davidson.com/",USD,Invoice Date: 23-Jul-2007,2007-07-23,,Due Date : 13-Jun-2022,2022-06-13,[],Thank you for choosing us!,Invoice number 4Y1M6d-954,PO Number :59,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.98%):  29.39 USD,29.39,TAX INVOICE,TOTAL : 611.62 USD,611.62,"Total in words:  six hundred and el-
even point six two",Template3_Instance171.json
"BILL_TO:
Dennis Estrada
6820 Griffith Oval
Port Loretta, NY 28420 US
Tel:+(427)139-7680
Email:dgarner@example.org
Site:https://harris-bauer.org/",USD,Date: 02-Nov-2021,2021-11-02,,Due Date : 12-Feb-1996,1996-02-12,[],Thank you for choosing us!,Invoice number INV/59-18/514,PO Number :73,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (3.47%):  15.39 $,15.39,COMMERCIAL INVOICE,TOTAL : 440.93 $,440.93,"Total in words:  four hundred and fo-
rty point nine three",Template3_Instance172.json
"BILL_TO:
Danielle Doyle
2511 Strong Parkway
New Wesleyfurt, ID 80709 US
Tel:+(295)162-2746
Email:calhounnathan@example.org
Site:https://www.farley.biz/",USD,Invoice Date: 28-Mar-1993,1993-03-28,,Due Date : 26-Jun-2011,2011-06-26,[],"Note:
This order is shipped through blue dart courier",INVOICE # INV/64-28/189,PO Number :43,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.74%):  30.40 USD,30.4,TAX INVOICE,TOTAL : 661.00 USD,661.0,"Total in words:  six hundred -
and sixty-one",Template3_Instance173.json
"BILL_TO:
George Sanchez
456 Nichols Locks Suite 716
Justinberg, CO 08664 US
Tel:+(326)876-9919
Email:amata@example.com
Site:http://www.nicholson.biz/",EUR,Invoice Date: 17-May-2009,2009-05-17,,Due Date : 13-Jan-2003,2003-01-13,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE # 7Y9M6d-090,PO Number :38,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.05%):  41.13 EUR,41.13,TAX INVOICE,TOTAL : 1040.22 EUR,0.22,"Total in words:  one thousand and f-
orty point two two",Template3_Instance174.json
"BILL_TO:
John Gray
22755 Johnson Knolls
New Christinaport, WY 12500 US
Tel:+(711)280-5515
Email:imiller@example.org
Site:https://chase.net/",USD,Invoice Date: 06-Jun-2013,2013-06-06,,Due Date : 04-Oct-2008,2008-10-04,[],"Note:
This order is shipped through blue dart courier",INVOICE ID INV/80-94/770,PO Number :72,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.00%):  24.20 $,24.2,COMMERCIAL INVOICE,TOTAL : 602.70 $,602.7,"Total in words:  six hundred and-
two point seven",Template3_Instance175.json
